img,output,flag,username,timestamp
/home/hoang.danh.quan/PycharmProjects/pythonProject2/spider_classification/flagged/img/tmp255m9snu.jpg,/home/hoang.danh.quan/PycharmProjects/pythonProject2/spider_classification/flagged/output/tmpy_a73qqq.json,,,2022-12-16 08:18:03.548223
/home/hoang.danh.quan/PycharmProjects/pythonProject2/spider_classification/flagged/img/tmp6v73kaf8.jpg,/home/hoang.danh.quan/PycharmProjects/pythonProject2/spider_classification/flagged/output/tmpo04zxpgi.json,,,2022-12-16 08:18:04.942168
